iter	Passed	Remaining
0	1	1709
1	3	1648
2	5	1665
3	6	1632
4	10	2036
5	12	2115
6	14	2043
7	16	2084
8	18	1994
9	19	1946
10	21	1904
11	22	1872
12	24	1880
13	26	1887
14	28	1871
15	30	1879
16	32	1856
17	33	1828
18	35	1808
19	37	1816
20	39	1854
21	41	1846
22	43	1835
23	44	1824
24	46	1821
25	48	1814
26	49	1795
27	51	1786
28	53	1803
29	55	1799
30	57	1782
31	58	1775
32	60	1773
33	62	1767
34	63	1757
35	65	1747
36	66	1736
37	69	1763
38	72	1779
39	74	1776
40	75	1768
41	77	1764
42	78	1756
43	80	1753
44	82	1743
45	84	1749
46	85	1743
47	87	1735
48	88	1724
49	90	1716
50	91	1709
51	93	1697
52	94	1693
53	96	1692
54	100	1724
55	102	1720
56	103	1714
57	105	1706
58	106	1698
59	108	1692
60	109	1684
61	110	1677
62	112	1672
63	114	1680
64	116	1677
65	117	1669
66	119	1658
67	120	1647
68	121	1637
69	122	1627
70	123	1618
71	124	1609
72	126	1601
73	127	1594
74	130	1608
75	132	1605
76	133	1598
77	134	1590
78	135	1581
79	136	1573
80	137	1564
81	139	1558
82	139	1545
83	140	1537
84	142	1529
85	143	1526
86	145	1521
87	146	1517
88	147	1512
89	149	1509
90	150	1504
91	151	1498
92	153	1497
93	154	1493
94	156	1487
95	157	1480
96	159	1480
97	160	1476
98	161	1470
99	162	1465
100	163	1458
101	165	1453
102	166	1447
103	167	1446
104	169	1440
105	170	1434
106	171	1429
107	172	1423
108	174	1426
109	175	1421
110	176	1416
111	177	1410
112	179	1405
113	180	1400
114	181	1395
115	182	1390
116	183	1383
117	184	1378
118	185	1373
119	186	1369
120	188	1367
121	189	1363
122	190	1359
123	191	1355
124	192	1350
125	194	1346
126	195	1340
127	196	1336
128	197	1332
129	198	1328
130	199	1323
131	200	1319
132	202	1319
133	204	1319
134	205	1315
135	206	1311
136	207	1307
137	208	1303
138	210	1302
139	211	1298
140	212	1294
141	213	1288
142	214	1285
143	215	1281
144	216	1279
145	218	1279
146	219	1276
147	221	1272
148	222	1269
149	223	1265
150	224	1263
151	225	1260
152	226	1256
153	228	1253
154	229	1249
155	230	1246
156	232	1246
157	233	1244
158	235	1243
159	236	1241
160	237	1236
161	238	1236
162	240	1233
163	241	1231
164	243	1230
165	244	1228
166	245	1225
167	246	1223
168	248	1223
169	249	1220
170	251	1217
171	252	1214
172	253	1212
173	254	1209
174	255	1206
175	257	1203
176	258	1200
177	259	1197
178	260	1195
179	262	1194
180	263	1193
181	264	1190
182	266	1187
183	267	1185
184	268	1182
185	269	1179
186	270	1176
187	271	1173
188	272	1171
189	274	1169
190	275	1167
191	277	1167
192	278	1166
193	280	1163
194	281	1160
195	282	1158
196	283	1155
197	284	1152
198	285	1149
199	286	1147
200	287	1144
201	289	1142
202	290	1140
203	292	1140
204	293	1139
205	294	1136
206	296	1134
207	297	1132
208	298	1129
209	299	1127
210	300	1124
211	301	1122
212	303	1120
213	305	1120
214	309	1129
215	311	1129
216	313	1129
217	314	1128
218	315	1126
219	316	1123
220	318	1122
221	319	1120
222	320	1117
223	323	1119
224	324	1118
225	326	1116
226	327	1114
227	328	1111
228	329	1108
229	330	1106
230	331	1104
231	333	1103
232	334	1101
233	335	1099
234	337	1098
235	338	1097
236	340	1097
237	342	1095
238	343	1095
239	345	1095
240	347	1094
241	349	1093
242	350	1092
243	353	1093
244	355	1095
245	356	1093
246	358	1092
247	359	1091
248	361	1090
249	363	1089
250	364	1087
251	365	1086
252	368	1086
253	369	1086
254	371	1084
255	372	1083
256	374	1081
257	375	1080
258	377	1079
259	378	1077
260	380	1076
261	382	1078
262	384	1077
263	386	1076
264	387	1074
265	389	1073
266	390	1072
267	391	1070
268	393	1069
269	394	1067
270	397	1068
271	398	1067
272	400	1066
273	401	1064
274	403	1063
275	404	1061
276	406	1060
277	407	1058
278	409	1057
279	411	1057
280	413	1057
281	414	1056
282	416	1054
283	418	1053
284	419	1053
285	421	1052
286	423	1051
287	424	1050
288	428	1055
289	430	1055
290	432	1054
291	434	1053
292	435	1051
293	437	1050
294	438	1048
295	440	1047
296	442	1047
297	444	1046
298	445	1045
299	447	1044
300	449	1044
301	451	1042
302	452	1041
303	454	1040
304	456	1040
305	458	1039
306	459	1037
307	461	1036
308	462	1034
309	464	1032
310	465	1031
311	466	1029
312	468	1028
313	470	1026
314	472	1027
315	473	1025
316	475	1024
317	476	1022
318	478	1020
319	479	1019
320	480	1017
321	482	1016
322	484	1014
323	486	1015
324	488	1014
325	489	1012
326	491	1010
327	492	1008
328	493	1006
329	494	1003
330	495	1001
331	496	999
332	498	997
333	499	995
334	500	993
335	502	992
336	503	990
337	504	987
338	505	986
339	506	984
340	508	982
341	509	979
342	510	977
343	512	976
344	513	974
345	515	973
346	516	971
347	517	970
348	519	968
349	520	966
350	521	964
351	522	962
352	524	960
353	525	959
354	527	958
355	528	956
356	531	956
357	532	955
358	533	953
359	535	951
360	536	949
361	537	947
362	538	944
363	539	942
364	540	940
365	541	938
366	543	936
367	544	934
368	545	933
369	547	932
370	548	930
371	550	928
372	551	927
373	553	926
374	554	924
375	555	922
376	556	919
377	557	917
378	559	915
379	560	915
380	562	913
381	563	911
382	564	909
383	565	907
384	566	905
385	568	903
386	569	901
387	570	899
388	571	897
389	572	895
390	573	893
391	575	893
392	577	891
393	578	889
394	579	887
395	580	885
396	581	883
397	583	882
398	584	880
399	585	878
400	586	876
401	587	874
402	588	872
403	591	872
404	592	870
405	593	868
406	594	866
407	595	864
408	597	863
409	598	861
410	600	859
411	601	858
412	602	856
413	603	854
414	605	852
415	606	851
416	607	849
417	609	847
418	610	846
419	611	844
420	613	843
421	614	841
422	615	839
423	616	837
424	617	835
425	618	833
426	620	832
427	622	831
428	623	829
429	624	827
430	625	825
431	627	824
432	628	822
433	629	820
434	630	819
435	631	817
436	632	815
437	634	813
438	635	812
439	636	810
440	638	809
441	639	807
442	640	805
443	642	805
444	644	803
445	645	801
446	646	800
447	647	798
448	649	796
449	650	795
450	652	793
451	653	792
452	654	790
453	655	788
454	656	786
455	657	784
456	659	783
457	660	781
458	661	779
459	662	777
460	664	777
461	666	776
462	668	775
463	669	773
464	671	772
465	673	771
466	674	769
467	675	767
468	676	765
469	677	764
470	678	762
471	680	761
472	681	759
473	682	757
474	684	756
475	685	754
476	686	753
477	688	751
478	689	749
479	690	747
480	691	746
481	692	744
482	694	743
483	695	741
484	697	740
485	698	738
486	699	737
487	701	735
488	702	734
489	703	732
490	704	730
491	706	729
492	707	727
493	708	725
494	710	724
495	711	723
496	712	721
497	713	719
498	715	717
499	716	716
500	717	714
501	718	712
502	719	710
503	720	709
504	722	707
505	723	706
506	725	705
507	726	703
508	727	702
509	729	700
510	730	698
511	731	696
512	732	695
513	733	693
514	734	692
515	736	690
516	737	688
517	738	687
518	740	686
519	741	684
520	743	683
521	744	681
522	745	680
523	747	678
524	748	677
525	749	675
526	750	673
527	751	672
528	752	670
529	754	669
530	756	667
531	757	666
532	758	664
533	759	662
534	760	661
535	761	659
536	762	657
537	764	656
538	765	654
539	766	652
540	767	651
541	769	650
542	771	649
543	772	647
544	773	646
545	775	644
546	776	642
547	777	641
548	779	640
549	780	638
550	782	637
551	783	636
552	785	634
553	786	633
554	787	631
555	789	630
556	790	628
557	791	627
558	793	626
559	795	625
560	796	623
561	799	623
562	800	621
563	802	620
564	803	618
565	805	617
566	807	616
567	808	615
568	810	613
569	811	612
570	814	611
571	815	610
572	817	609
573	818	607
574	820	606
575	821	604
576	823	603
577	824	602
578	826	600
579	828	599
580	830	598
581	831	597
582	833	596
583	834	594
584	836	593
585	837	591
586	838	590
587	840	588
588	841	587
589	844	586
590	845	585
591	847	584
592	849	583
593	851	581
594	852	580
595	854	579
596	855	577
597	857	576
598	859	575
599	861	574
600	862	572
601	864	571
602	865	569
603	867	568
604	868	567
605	870	565
606	871	564
607	875	564
608	877	563
609	878	561
610	880	560
611	881	559
612	883	557
613	885	556
614	886	555
615	889	554
616	890	552
617	892	551
618	894	550
619	895	549
620	897	547
621	898	546
622	900	544
623	901	543
624	904	542
625	906	541
626	907	539
627	908	538
628	910	537
629	912	535
630	913	534
631	915	533
632	918	532
633	920	531
634	922	530
635	924	529
636	926	527
637	928	526
638	929	525
639	931	523
640	935	524
641	937	522
642	938	521
643	940	519
644	941	518
645	943	516
646	944	515
647	945	513
648	946	512
649	948	510
650	949	509
651	951	507
652	952	506
653	954	504
654	955	503
655	957	502
656	958	500
657	960	498
658	961	497
659	962	495
660	963	494
661	965	492
662	967	491
663	968	490
664	969	488
665	970	486
666	971	485
667	973	483
668	974	481
669	975	480
670	976	478
671	978	477
672	979	476
673	981	474
674	982	472
675	983	471
676	984	469
677	985	468
678	986	466
679	987	464
680	989	463
681	990	461
682	991	460
683	993	458
684	994	457
685	995	455
686	997	454
687	998	452
688	999	451
689	1000	449
690	1001	447
691	1002	446
692	1004	444
693	1005	443
694	1006	441
695	1008	440
696	1009	438
697	1010	437
698	1012	435
699	1013	434
700	1014	432
701	1015	431
702	1017	429
703	1018	428
704	1020	427
705	1022	425
706	1023	424
707	1025	422
708	1026	421
709	1028	419
710	1029	418
711	1030	416
712	1032	415
713	1033	413
714	1034	412
715	1035	410
716	1037	409
717	1039	408
718	1041	406
719	1042	405
720	1043	403
721	1044	402
722	1046	400
723	1047	399
724	1049	398
725	1050	396
726	1051	394
727	1053	393
728	1054	391
729	1055	390
730	1056	388
731	1057	387
732	1058	385
733	1060	384
734	1061	382
735	1063	381
736	1064	379
737	1065	378
738	1066	376
739	1067	375
740	1069	373
741	1070	372
742	1071	370
743	1072	369
744	1073	367
745	1075	366
746	1076	364
747	1077	363
748	1079	361
749	1080	360
750	1081	358
751	1082	357
752	1083	355
753	1084	353
754	1086	352
755	1087	350
756	1088	349
757	1090	348
758	1092	346
759	1093	345
760	1094	343
761	1095	342
762	1096	340
763	1097	339
764	1098	337
765	1099	336
766	1101	334
767	1102	332
768	1103	331
769	1105	330
770	1106	328
771	1108	327
772	1109	325
773	1110	324
774	1111	322
775	1112	321
776	1113	319
777	1114	318
778	1115	316
779	1117	315
780	1118	313
781	1120	312
782	1121	310
783	1122	309
784	1124	307
785	1125	306
786	1126	304
787	1127	303
788	1129	301
789	1130	300
790	1131	298
791	1132	297
792	1133	295
793	1135	294
794	1136	293
795	1138	291
796	1139	290
797	1141	288
798	1142	287
799	1143	285
800	1144	284
801	1146	283
802	1147	281
803	1149	280
804	1150	278
805	1151	277
806	1153	275
807	1154	274
808	1155	272
809	1156	271
810	1157	269
811	1158	268
812	1160	266
813	1161	265
814	1162	263
815	1164	262
816	1166	261
817	1167	259
818	1168	258
819	1169	256
820	1170	255
821	1171	253
822	1172	252
823	1173	250
824	1175	249
825	1176	247
826	1177	246
827	1179	244
828	1180	243
829	1182	242
830	1183	240
831	1184	239
832	1185	237
833	1186	236
834	1187	234
835	1189	233
836	1190	231
837	1191	230
838	1192	228
839	1194	227
840	1196	226
841	1197	224
842	1198	223
843	1199	221
844	1200	220
845	1202	218
846	1203	217
847	1204	215
848	1205	214
849	1206	212
850	1208	211
851	1210	210
852	1211	208
853	1213	207
854	1214	205
855	1215	204
856	1216	203
857	1218	201
858	1219	200
859	1220	198
860	1221	197
861	1222	195
862	1224	194
863	1225	192
864	1226	191
865	1228	190
866	1229	188
867	1231	187
868	1232	185
869	1233	184
870	1234	182
871	1236	181
872	1237	179
873	1239	178
874	1240	177
875	1242	175
876	1243	174
877	1244	172
878	1245	171
879	1247	170
880	1248	168
881	1249	167
882	1251	165
883	1252	164
884	1255	163
885	1256	161
886	1257	160
887	1258	158
888	1259	157
889	1261	155
890	1262	154
891	1263	152
892	1264	151
893	1265	150
894	1266	148
895	1269	147
896	1270	145
897	1271	144
898	1272	142
